Время    эдс
мс       мв
    
1.678466797  0.000504042
1.679992676  0.000503128
1.681518555  0.000502214
1.683044434  0.0005013
1.684570313  0.000500389
1.686096191  0.000499481
1.68762207  0.000498579
1.689147949  0.000497686
1.690673828  0.0004968
1.692199707  0.000495923
1.693725586  0.000495054
1.695251465  0.00049419
1.696777344  0.00049333
1.698303223  0.000492471
1.699829102  0.000491612
1.70135498  0.000490751
1.702880859  0.000489887
1.704406738  0.000489021
1.705932617  0.000488156
1.707458496  0.000487296
1.708984375  0.000486437
1.710510254  0.000485572
1.712036133  0.0004847
1.713562012  0.000483826
1.715087891  0.000482957
1.71661377  0.000482094
1.718139648  0.000481237
1.719665527  0.000480387
1.721191406  0.000479542
1.722717285  0.000478701
1.724243164  0.000477864
1.725769043  0.000477026
1.727294922  0.000476185
1.728820801  0.000475342
1.73034668  0.000474502
1.731872559  0.000473666
1.733398438  0.000472835
1.734924316  0.000472006
1.736450195  0.000471179
1.737976074  0.000470356
1.739501953  0.000469538
1.741027832  0.000468727
1.742553711  0.00046792
1.74407959  0.000467112
1.745605469  0.0004663
1.747131348  0.000465481
1.748657227  0.000464653
1.750183105  0.000463824
1.751708984  0.000463
1.753234863  0.000462186
1.754760742  0.000461379
1.756286621  0.00046057
1.7578125  0.00045976
1.759338379  0.000458945
1.760864258  0.000458131
1.762390137  0.000457318
1.763916016  0.000456507
1.765441895  0.000455697
1.766967773  0.000454888
1.768493652  0.000454086
1.770019531  0.000453288
1.77154541  0.000452492
1.773071289  0.000451693
1.774597168  0.000450889
1.776123047  0.000450081
1.777648926  0.000449271
1.779174805  0.000448463
1.780700684  0.000447657
1.782226563  0.000446853
1.783752441  0.000446058
1.78527832  0.000445274
1.786804199  0.000444501
1.788330078  0.000443734
1.789855957  0.000442968
1.791381836  0.000442199
1.792907715  0.000441426
1.794433594  0.00044065
1.795959473  0.000439872
1.797485352  0.000439097
1.79901123  0.000438326
1.800537109  0.000437559
1.802062988  0.000436796
1.803588867  0.000436038
1.805114746  0.00043528
1.806640625  0.000434523
1.808166504  0.000433767
1.809692383  0.000433011
1.811218262  0.000432252
1.812744141  0.00043149
1.81427002  0.000430727
1.815795898  0.000429967
1.817321777  0.000429213
1.818847656  0.000428465
1.820373535  0.00042772
1.821899414  0.000426976
1.823425293  0.000426231
1.824951172  0.000425479
1.826477051  0.000424722
1.82800293  0.000423963
1.829528809  0.000423204
1.831054688  0.000422449
1.832580566  0.0004217
1.834106445  0.000420956
1.835632324  0.000420215
1.837158203  0.000419476
1.838684082  0.00041874
1.840209961  0.000418007
1.84173584  0.000417276
1.843261719  0.000416543
1.844787598  0.000415807
1.846313477  0.000415068
1.847839355  0.000414325
1.849365234  0.000413579
1.850891113  0.000412834
1.852416992  0.000412096
1.853942871  0.000411367
1.85546875  0.000410644
1.856994629  0.000409921
1.858520508  0.000409196
1.860046387  0.000408467
1.861572266  0.000407738
1.863098145  0.000407009
1.864624023  0.00040628
1.866149902  0.000405551
1.867675781  0.000404819
1.86920166  0.000404086
1.870727539  0.000403358
1.872253418  0.00040264
1.873779297  0.000401933
1.875305176  0.000401231
1.876831055  0.000400534
1.878356934  0.000399841
1.879882813  0.000399148
1.881408691  0.000398453
1.88293457  0.000397757
1.884460449  0.000397062
1.885986328  0.000396371
1.887512207  0.000395685
1.889038086  0.000395002
1.890563965  0.000394323
1.892089844  0.000393643
1.893615723  0.000392961
1.895141602  0.000392272
1.89666748  0.000391577
1.898193359  0.000390877
1.899719238  0.000390177
1.901245117  0.00038948
1.902770996  0.00038879
1.904296875  0.000388109
1.905822754  0.000387431
1.907348633  0.000386756
1.908874512  0.000386084
1.910400391  0.000385414
1.91192627  0.000384743
1.913452148  0.000384072
1.914978027  0.000383399
1.916503906  0.000382726
